original_id	work_title	work_authors	file_format	file_size	number_of_access	original_source
Encarnação|José de Alencar	Encarnação	José de Alencar	.pdf	322,93              KB	4.354	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Encher tempo|Machado de Assis	Encher tempo	Machado de Assis	.pdf	152,24              KB	7.058	[fs] Universidade Federal de Santa Catarina - UFSC
Encontros Reveladores|Artur Azevedo	Encontros Reveladores	Artur Azevedo	.pdf	53,76              KB	1.826	[bi] Biblioteca Virtual de Literatura
Ensaio Histórico sobre as Letras no Brasil|Francisco Adolfo de Varnhagen	Ensaio Histórico sobre as Letras no Brasil	Francisco Adolfo de Varnhagen	.pdf	200,89              KB	4.068	[bn] Fundação Biblioteca Nacional
Ensaio Histórico sobre as Letras no Brasil|Francisco Adolfo de Varnhagen	Ensaio Histórico sobre as Letras no Brasil	Francisco Adolfo de Varnhagen	.pdf	78,23              KB	1.584	[ua] Universidade da Amazônia - UNAMA
Entre 1892 e 1894|Machado de Assis	Entre 1892 e 1894	Machado de Assis	.pdf	37,12              KB	5.692	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Entre Marília e a pátria|Frei Caneca	Entre Marília e a pátria	Frei Caneca	.pdf	52,97              KB	724	[ws] Wikisource
Entre Santos|Machado de Assis	Entre Santos	Machado de Assis	.pdf	77,07              KB	6.843	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Entre Santos|Machado de Assis	Entre Santos	Machado de Assis	.pdf	37,89              KB	3.674	[ua] Universidade da Amazônia - UNAMA
Entre a Missa e o Almoço|Artur Azevedo	Entre a Missa e o Almoço	Artur Azevedo	.pdf	41,09              KB	880	[ua] Universidade da Amazônia - UNAMA
Entre a Missa e o Almoço|Artur Azevedo	Entre a Missa e o Almoço	Artur Azevedo	.pdf	102,38              KB	3.043	[bi] Biblioteca Virtual de Literatura
Entre a juntura dos ossos. (Coleção literatura para todos; v. 5)|Vera Lúcia de Oliveira	Entre a juntura dos ossos. (Coleção literatura para todos; v. 5)	Vera Lúcia de Oliveira	.pdf	8,88              MB	2.076	[me] Ministério da Educação
Entre duas datas|Machado de Assis	Entre duas datas	Machado de Assis	.pdf	100,46              KB	4.719	[fs] Universidade Federal de Santa Catarina - UFSC
Entre o que vejo|Alberto Caeiro	Entre o que vejo	Alberto Caeiro	.pdf	31,43              KB	808	[wk] Wikipédia, a enciclopédia livre
Entrei para o Clube Jácome|França Júnior	Entrei para o Clube Jácome	França Júnior	.pdf	214,67              KB	1.235	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Epaminondas|Artur Azevedo	Epaminondas	Artur Azevedo	.pdf	59,56              KB	1.630	[bi] Biblioteca Virtual de Literatura
Epicédio|Cláudio Manuel da Costa (Glauceste Satúrnio)	Epicédio	Cláudio Manuel da Costa (Glauceste Satúrnio)	.pdf	80,26              KB	2.361	[fs] Universidade Federal de Santa Catarina - UFSC
Epitáfio — Se estiver nos meus fados a próxima extinção de meus dias|Manuel Maria de Barbosa du Bocage	Epitáfio — Se estiver nos meus fados a próxima extinção de meus dias	Manuel Maria de Barbosa du Bocage	.pdf	32,03              KB	1.470	[wk] Wikipédia, a enciclopédia livre
Ernesto de Tal|Machado de Assis	Ernesto de Tal	Machado de Assis	.pdf	130,11              KB	5.238	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Ernesto de Tal|Machado de Assis	Ernesto de Tal	Machado de Assis	.pdf	63,74              KB	3.207	[ua] Universidade da Amazônia - UNAMA
