original_id	goodreads_id
A velhice do Padre Eterno|Guerra Junqueiro	10463695
A versificação em língua portuguesa|Manuel Bandeira	58132188
A viagem de Antero de Quental à América do Norte|António Arroio	32256204
A vida do estudante de Coimbra (antiga e moderna)|Teixeira Bastos	37605178
A voyage round the world, in the years MDCCXL, I, II, II, IV|George Anson	54169150
A voyage up the river Amazon, including a residence at Pará|William Henry Edwards	29712755
A voz do profeta|Alexandre Herculano	37927504
"A winter cruise in summer seas ""How I found"" health; diary of a two months’ voyage in the Royal mail steam packet company’s S.S. Clyde, from Southampton, through the Brazils, to Buenos Aires and back, for £100|Charles C. Atchison"	33104924
Administrações maranhenses|Henrique Costa Fernandes	4017833
Adolfo Caminha: um polígrafo na literatura brasileira do Século XIX (1885-1897)|Carlos Eduardo de Oliveira Bezerra	24428398
Adozinda|Almeida Garrett	9695987
Afirmações|Elysio de Carvalho;Ronald de Carvalho	32941383
Agostinheida|Pato Moniz	38152188
Agostinho de Ceuta|Camilo Castelo Branco	41849052
Agradecimento aos pernambucanos|Joaquim Nabuco	42290613
Agulha em palheiro|Camilo Castelo Branco	7070520
Álbum de ensino universal|Alberto Pimentel	41862057
Alcácer Kibir|João Gonçalves Zarco da Câmara	9743864
Alexandre Herculano|Manuel Caldas Cordeiro	20932317
Alfarrábios|José de Alencar	43306047
Algas e musgos|Luiz Delfino	42039346
Algumas notas genealógicas|João Mendes de Almeida, 1º	42216586
Algumas palavras a respeito de púcaros de Portugal|Carolina Michaëlis de Vasconcelos	37536202
Algumas poesias suas pouco conhecidas|João de Deus;Antero de Quental;Rodrigo Velloso	12454290
Alguns homens do meu tempo|Maria Amália Vaz de Carvalho	28510597
Almas inquietas|João Grave	39506040
Amadis de Gaula|autor anônimo ou sem autoria;Garci Rodríguez de Montalvo	86244
Amar, verbo intransitivo|Mário de Andrade	2752069
Ambições|Ana de Castro Osório	51390014
Amor crioulo|Abel Botelho;João Grave	27158797
Amor e melancolia, ou A novísima Heloísa|Castilho	44636459
Amour et Dieu|Joaquim Nabuco	32697983
An account of the European Settlements in America|Edmund Burke	12048414
An account, historical, political and statistical of the United Provinces of Rio de la Plata|Ignacio Núñez	27079189
Anátema|Camilo Castelo Branco	7202044
Anos de prosa|Camilo Castelo Branco	10663667
Ânsia eterna|Júlia Lopes de Almeida	26850169
Antero de Quental - In memoriam|autor anônimo ou sem autoria;Eça de Queirós;Guerra Junqueiro;João de Deus;Antero de Quental;F. Adolfo Coelho;Luís de Magalhães;Carolina Michaëlis de Vasconcelos;Jaime de Magalhães Lima;Oliveira Martins;Alberto Sampaio;G. de Vasconcelos Abreu;F. M. de Faria e Maia;Salomão Saragga;C. Andrade Albuquerque;Manuel de Arriaga;A. L. dos Santos Valente;João Lobo de Moura;Alice Moderno;Souza Martins;Filomeno da Câmara;Anselmo de Andrade;Eugénio Vaz P. do Canto e Castro;M. Duarte de Almeida;M. A. Machado Faria e Maia;Jaime Batalha Reis;Joaquim de Vasconcelos;Ernesto do Canto;Joaquim de Araújo	12155603
Antinous|Fernando Pessoa	19458535
Antologia poética|Vinicius de Morais	905033
António Ferreira|Júlio de Castilho	39408832
Ao anoitecer da vida|Camilo Castelo Branco	42053932
Ao de leve|Brito Camacho	29985350
