original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
Musa Velha|Palha, Francisco	Musa Velha	Palha, Francisco	1826-1890	1883	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O doido e a morte|Pascoais, Teixeira de	O doido e a morte	Pascoais, Teixeira de	1877-1952	1913	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Elegia da solidão|Pascoais, Teixeira de	Elegia da solidão	Pascoais, Teixeira de	1877-1952	1920	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Elegias|Pascoais, Teixeira de	Elegias	Pascoais, Teixeira de	1877-1952	1912	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Á ventura|Pascoais, Teixeira de	Á ventura	Pascoais, Teixeira de	1877-1952	1901	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Poesias|Passos, Soares de	Poesias	Passos, Soares de	1826-1860	1870	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
A José Estevão|Pato, Bulhão	A José Estevão	Pato, Bulhão	1829-1912	1866	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Versos de Bulhão Pato|Pato, Bulhão	Versos de Bulhão Pato	Pato, Bulhão	1829-1912	1862	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Serão inquieto|Patrício, António	Serão inquieto	Patrício, António	1878-1930	1920	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
Serão Inquieto|Patrício, António	Serão Inquieto	Patrício, António	1878-1930	1911	Contos	PDF		Bibliotrónica Portuguesa
Aquela Família...|Patrício, Ladislau	Aquela Família...	Patrício, Ladislau	1883-1967	1914	Contos	HTML, EPUB, MOBI e TXT		Project Gutenberg
A Campanha Abolicionista|Patrocínio, José do	A Campanha Abolicionista	Patrocínio, José do	1853-1905		Ensaio  Política	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Os Cataventos|Peixoto, Rocha	Os Cataventos	Peixoto, Rocha	1866-1909	1907	Ensaio  Cultura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Os Dois ou o Inglês Maquinista|Pena, Luís Carlos Martins	Os Dois ou o Inglês Maquinista	Pena, Luís Carlos Martins	1815-1848		Drama	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
O Noviço|Pena, Luís Carlos Martins	O Noviço	Pena, Luís Carlos Martins	1815-1848		Drama	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
O Judas em Sábado de Aleluia|Pena, Luís Carlos Martins	O Judas em Sábado de Aleluia	Pena, Luís Carlos Martins	1815-1848		Drama	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
O Juiz de Paz da Roça|Penna, Martins	O Juiz de Paz da Roça	Penna, Martins	1815-1848		Drama	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Portugal e Brazil: emigração e colonisação|Percheiro, D. A. Gomes	Portugal e Brazil: emigração e colonisação	Percheiro, D. A. Gomes		1878	Ensaio  Cultura	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Padroado Portuguez na China|Pereira, Alberto Feliciano Marques	O Padroado Portuguez na China	Pereira, Alberto Feliciano Marques	1866-1936	1873	Ensaio  Religião	HTML, EPUB, MOBI e TXT		Project Gutenberg
Delenda est Carthago!|Pereira, Eduardo C. N.	Delenda est Carthago!	Pereira, Eduardo C. N.	1887-1976	1913	Conferência	HTML, EPUB, MOBI e TXT		Project Gutenberg
Paginas Archeologicas|Pereira, Félix Alves	Paginas Archeologicas	Pereira, Félix Alves	1865-1936	1907	Arqueologia	HTML, EPUB, MOBI e TXT		Project Gutenberg
